0 qid:1 1:1.0 2:1.0 3:1.0 4:1.0 5:8.01799 6:1.0
0 qid:1 1:0.0 2:0.23809522 3:0.0 4:0.0 5:6.64381 6:0.23809522
0 qid:1 1:0.6666667 2:0.22727275 3:0.0 4:1.0 5:6.64381 6:0.22727275
0 qid:1 1:0.5 2:0.2631579 3:0.0 4:1.0 5:4.40991 6:0.2631579
0 qid:1 1:0.6666667 2:0.38461536 3:0.0 4:1.0 5:4.00032 6:0.38461536
0 qid:1 1:0.5 2:0.2631579 3:0.0 4:1.0 5:4.00032 6:0.2631579
0 qid:1 1:0.0 2:0.38461536 3:0.0 4:0.0 5:4.00032 6:0.38461536
0 qid:1 1:0.6666667 2:0.38461536 3:0.0 4:1.0 5:4.00032 6:0.38461536
0 qid:1 1:0.6666667 2:0.5 3:0.0 4:1.0 5:4.00032 6:0.5
0 qid:1 1:0.6666667 2:0.4166667 3:0.0 4:1.0 5:4.00032 6:0.4166667
0 qid:1 1:0.6666667 2:0.5 3:0.0 4:1.0 5:4.00032 6:0.5
0 qid:1 1:0.6666667 2:0.35714287 3:0.0 4:1.0 5:4.00032 6:0.35714287
