0 qid:1 1:1.0 2:1.0 3:1.0 4:1.0 5:10.1414 6:1.0
0 qid:1 1:0.5 2:0.325 3:0.0 4:1.0 5:10.1396 6:0.325
0 qid:1 1:0.0 2:0.40625 3:0.0 4:0.0 5:10.138 6:0.40625
0 qid:1 1:0.0 2:0.40625 3:0.0 4:0.0 5:10.1374 6:0.40625
0 qid:1 1:0.8 2:0.7222222 3:0.0 4:1.0 5:10.1299 6:0.7222222
0 qid:1 1:0.0 2:0.5416666 3:0.0 4:0.0 5:10.129 6:0.5416666
0 qid:1 1:0.8 2:0.7222222 3:0.0 4:1.0 5:10.1248 6:0.7222222
0 qid:1 1:0.6666667 2:0.5652174 3:0.0 4:1.0 5:10.121 6:0.5652174
0 qid:1 1:0.5 2:0.16455698 3:0.0 4:1.0 5:10.1199 6:0.16455698
0 qid:1 1:0.0 2:0.5652174 3:0.0 4:0.0 5:10.119 6:0.5652174
0 qid:1 1:0.5 2:0.16455698 3:0.0 4:1.0 5:10.1158 6:0.16455698
0 qid:1 1:0.0 2:0.38461536 3:0.0 4:0.0 5:10.1103 6:0.7692308
0 qid:1 1:0.6666667 2:0.5 3:0.0 4:1.0 5:10.1076 6:0.5
0 qid:1 1:0.33333334 2:0.3611111 3:0.0 4:0.0 5:10.1056 6:0.3611111
0 qid:1 1:0.2857143 2:0.34210527 3:0.0 4:0.0 5:10.1048 6:0.34210527
0 qid:1 1:0.2857143 2:0.30952382 3:0.0 4:0.0 5:10.1046 6:0.30952382
0 qid:1 1:0.33333334 2:0.3611111 3:0.0 4:0.0 5:10.1045 6:0.3611111
0 qid:1 1:0.54545456 2:0.19696969 3:0.0 4:1.0 5:10.1034 6:0.19696969
0 qid:1 1:0.0 2:0.40625 3:0.0 4:0.0 5:10.1027 6:0.40625
0 qid:1 1:0.44444445 2:0.23636365 3:0.0 4:1.0 5:10.0997 6:0.23636365
0 qid:1 1:0.5 2:0.325 3:0.0 4:1.0 5:10.0963 6:0.325
0 qid:1 1:0.33333334 2:0.3611111 3:0.0 4:0.0 5:10.0895 6:0.3611111
0 qid:1 1:0.33333334 2:0.3611111 3:0.0 4:0.0 5:10.0891 6:0.3611111
0 qid:1 1:0.6666667 2:0.4814815 3:0.0 4:1.0 5:10.0886 6:0.4814815
0 qid:1 1:0.5 2:0.2826087 3:0.0 4:1.0 5:10.0851 6:0.2826087
0 qid:1 1:0.22222222 2:0.24528301 3:0.0 4:0.0 5:10.0849 6:0.24528301
0 qid:1 1:0.36363637 2:0.18840581 3:0.0 4:1.0 5:10.0816 6:0.18840581
0 qid:1 1:0.44444445 2:0.25490195 3:0.0 4:1.0 5:10.0815 6:0.25490195
0 qid:1 1:0.2857143 2:0.2826087 3:0.0 4:0.0 5:10.0789 6:0.2826087
0 qid:1 1:0.30769232 2:0.14772725 3:0.0 4:1.0 5:10.0749 6:0.14772725
0 qid:1 1:0.0 2:0.5 3:0.0 4:0.0 5:10.0741 6:0.5
0 qid:1 1:0.5714286 2:0.44827586 3:0.0 4:1.0 5:10.0724 6:0.44827586
0 qid:1 1:0.46153846 2:0.17105263 3:0.0 4:1.0 5:10.0714 6:0.17105263
0 qid:1 1:0.36363637 2:0.2096774 3:0.0 4:1.0 5:10.0707 6:0.2096774
0 qid:1 1:0.4 2:0.2241379 3:0.0 4:1.0 5:10.0678 6:0.2241379
0 qid:1 1:0.44444445 2:0.25 3:0.0 4:1.0 5:10.0667 6:0.25
0 qid:1 1:0.0 2:0.1857143 3:0.0 4:0.0 5:10.0639 6:0.1857143
0 qid:1 1:0.44444445 2:0.23636365 3:0.0 4:1.0 5:10.0634 6:0.23636365
0 qid:1 1:0.5 2:0.29545456 3:0.0 4:1.0 5:10.063 6:0.29545456
0 qid:1 1:0.2857143 2:0.3023256 3:0.0 4:0.0 5:10.0604 6:0.3023256
0 qid:1 1:0.5 2:0.2708333 3:0.0 4:1.0 5:10.0596 6:0.2708333
0 qid:1 1:0.44444445 2:0.24528301 3:0.0 4:1.0 5:10.0564 6:0.24528301
0 qid:1 1:0.44444445 2:0.26530612 3:0.0 4:1.0 5:10.0506 6:0.26530612
0 qid:1 1:0.44444445 2:0.23636365 3:0.0 4:1.0 5:10.0496 6:0.23636365
0 qid:1 1:0.4 2:0.43333334 3:0.0 4:0.0 5:10.0495 6:0.43333334
0 qid:1 1:0.0 2:0.30952382 3:0.0 4:0.0 5:10.0491 6:0.30952382
0 qid:1 1:0.44444445 2:0.24074072 3:0.0 4:1.0 5:10.0483 6:0.24074072
0 qid:1 1:0.4 2:0.2096774 3:0.0 4:1.0 5:10.047 6:0.2096774
0 qid:1 1:0.33333334 2:0.3611111 3:0.0 4:0.0 5:10.0463 6:0.3611111
0 qid:1 1:0.36363637 2:0.2241379 3:0.0 4:1.0 5:10.0453 6:0.2241379
0 qid:1 1:0.5714286 2:0.325 3:0.0 4:1.0 5:10.043 6:0.325
0 qid:1 1:0.0 2:0.18840581 3:0.0 4:0.0 5:10.0426 6:0.18840581
0 qid:1 1:0.5 2:0.16250002 3:0.0 4:1.0 5:10.0422 6:0.16250002
0 qid:1 1:0.33333334 2:0.37142855 3:0.0 4:0.0 5:10.0378 6:0.37142855
0 qid:1 1:0.25 2:0.2708333 3:0.0 4:0.0 5:10.0344 6:0.2708333
0 qid:1 1:0.33333334 2:0.18840581 3:0.0 4:1.0 5:10.0322 6:0.18840581
0 qid:1 1:0.5 2:0.27659577 3:0.0 4:1.0 5:10.0319 6:0.27659577
0 qid:1 1:0.4 2:0.2096774 3:0.0 4:1.0 5:10.0303 6:0.2096774
0 qid:1 1:0.2857143 2:0.17333335 3:0.0 4:1.0 5:10.029 6:0.17333335
0 qid:1 1:0.0 2:0.31707317 3:0.0 4:0.0 5:10.0287 6:0.31707317
0 qid:1 1:0.4 2:0.1857143 3:0.0 4:1.0 5:10.0278 6:0.1857143
0 qid:1 1:0.36363637 2:0.2241379 3:0.0 4:1.0 5:10.0276 6:0.2241379
0 qid:1 1:0.4 2:0.2096774 3:0.0 4:1.0 5:10.025 6:0.2096774
0 qid:1 1:0.36363637 2:0.19402987 3:0.0 4:1.0 5:10.0239 6:0.19402987
0 qid:1 1:0.6666667 2:0.46428573 3:0.0 4:1.0 5:10.0239 6:0.46428573
0 qid:1 1:0.5714286 2:0.2708333 3:0.0 4:1.0 5:10.0228 6:0.2708333
0 qid:1 1:0.5714286 2:0.43333334 3:0.0 4:1.0 5:10.0224 6:0.43333334
0 qid:1 1:0.44444445 2:0.23636365 3:0.0 4:1.0 5:10.0219 6:0.23636365
0 qid:1 1:0.0 2:0.3023256 3:0.0 4:0.0 5:10.0204 6:0.3023256
0 qid:1 1:0.6666667 2:0.41935486 3:0.0 4:1.0 5:10.0194 6:0.41935486
0 qid:1 1:0.5 2:0.2708333 3:0.0 4:1.0 5:10.0184 6:0.2708333
0 qid:1 1:0.2857143 2:0.31707317 3:0.0 4:0.0 5:10.017 6:0.31707317
0 qid:1 1:0.44444445 2:0.24074072 3:0.0 4:1.0 5:10.0169 6:0.24074072
0 qid:1 1:0.5 2:0.14444447 3:0.0 4:1.0 5:10.0162 6:0.14444447
0 qid:1 1:0.54545456 2:0.18840581 3:0.0 4:1.0 5:10.0134 6:0.18840581
0 qid:1 1:0.33333334 2:0.35135138 3:0.0 4:0.0 5:10.0107 6:0.35135138
0 qid:1 1:0.44444445 2:0.26530612 3:0.0 4:1.0 5:10.0084 6:0.26530612
0 qid:1 1:0.44444445 2:0.24074072 3:0.0 4:1.0 5:10.0079 6:0.24074072
0 qid:1 1:0.2857143 2:0.31707317 3:0.0 4:0.0 5:10.0076 6:0.31707317
0 qid:1 1:0.36363637 2:0.18840581 3:0.0 4:1.0 5:10.0049 6:0.18840581
0 qid:1 1:0.4 2:0.21666664 3:0.0 4:1.0 5:10.0042 6:0.21666664
0 qid:1 1:0.36363637 2:0.23214287 3:0.0 4:1.0 5:10.0031 6:0.23214287
0 qid:1 1:0.25 2:0.2280702 3:0.0 4:0.0 5:10.0028 6:0.2280702
0 qid:1 1:0.4 2:0.220339 3:0.0 4:1.0 5:10.0022 6:0.220339
0 qid:1 1:0.5714286 2:0.2708333 3:0.0 4:1.0 5:10.0021 6:0.2708333
0 qid:1 1:0.44444445 2:0.24074072 3:0.0 4:1.0 5:10.0019 6:0.24074072
0 qid:1 1:0.44444445 2:0.24528301 3:0.0 4:1.0 5:10.0014 6:0.24528301
0 qid:1 1:0.4 2:0.19999999 3:0.0 4:1.0 5:10.0007 6:0.19999999
0 qid:1 1:0.44444445 2:0.26530612 3:0.0 4:1.0 5:9.99822 6:0.26530612
0 qid:1 1:0.44444445 2:0.26 3:0.0 4:1.0 5:9.99514 6:0.26
0 qid:1 1:0.0 2:0.24528301 3:0.0 4:0.0 5:9.99335 6:0.24528301
0 qid:1 1:0.0 2:0.5652174 3:0.0 4:0.0 5:9.9929 6:0.5652174
0 qid:1 1:0.0 2:0.5909091 3:0.0 4:0.0 5:9.99245 6:0.5909091
0 qid:1 1:0.36363637 2:0.2241379 3:0.0 4:1.0 5:9.99215 6:0.2241379
0 qid:1 1:0.22222222 2:0.24528301 3:0.0 4:0.0 5:9.99185 6:0.24528301
0 qid:1 1:0.5 2:0.2826087 3:0.0 4:1.0 5:9.98894 6:0.2826087
0 qid:1 1:0.5 2:0.3023256 3:0.0 4:1.0 5:9.98832 6:0.3023256
0 qid:1 1:0.5 2:0.31707317 3:0.0 4:1.0 5:9.98832 6:0.31707317
0 qid:1 1:0.36363637 2:0.19402987 3:0.0 4:1.0 5:9.98723 6:0.19402987
0 qid:1 1:0.5 2:0.18055558 3:0.0 4:1.0 5:9.98598 6:0.18055558
0 qid:1 1:0.5 2:0.27659577 3:0.0 4:1.0 5:9.98598 6:0.27659577
0 qid:1 1:0.5714286 2:0.43333334 3:0.0 4:1.0 5:9.98376 6:0.43333334
0 qid:1 1:0.5714286 2:0.34210527 3:0.0 4:1.0 5:9.98215 6:0.34210527
0 qid:1 1:0.25 2:0.25490195 3:0.0 4:0.0 5:9.98215 6:0.25490195
0 qid:1 1:0.44444445 2:0.220339 3:0.0 4:1.0 5:9.97707 6:0.220339
0 qid:1 1:0.2857143 2:0.29545456 3:0.0 4:0.0 5:9.97641 6:0.29545456
0 qid:1 1:0.33333334 2:0.35135138 3:0.0 4:0.0 5:9.97607 6:0.35135138
0 qid:1 1:0.8 2:0.65 3:0.0 4:1.0 5:9.9759 6:0.65
0 qid:1 1:0.36363637 2:0.19999999 3:0.0 4:0.0 5:9.97557 6:0.19999999
0 qid:1 1:0.0 2:0.30952382 3:0.0 4:0.0 5:9.97506 6:0.30952382
0 qid:1 1:0.5 2:0.3333333 3:0.0 4:1.0 5:9.9732 6:0.3333333
0 qid:1 1:0.5714286 2:0.37142855 3:0.0 4:1.0 5:9.97166 6:0.37142855
0 qid:1 1:0.0 2:0.1857143 3:0.0 4:0.0 5:9.97132 6:0.1857143
0 qid:1 1:0.5 2:0.26530612 3:0.0 4:1.0 5:9.9708 6:0.26530612
0 qid:1 1:0.5 2:0.35135138 3:0.0 4:1.0 5:9.97045 6:0.35135138
0 qid:1 1:0.5 2:0.17808217 3:0.0 4:1.0 5:9.96836 6:0.17808217
0 qid:1 1:0.4 2:0.2096774 3:0.0 4:1.0 5:9.96553 6:0.2096774
0 qid:1 1:0.5 2:0.3333333 3:0.0 4:1.0 5:9.965 6:0.3333333
0 qid:1 1:0.4 2:0.25 3:0.0 4:1.0 5:9.96482 6:0.25
0 qid:1 1:0.36363637 2:0.2096774 3:0.0 4:0.0 5:9.96028 6:0.2096774
0 qid:1 1:0.5 2:0.2826087 3:0.0 4:1.0 5:9.95955 6:0.2826087
0 qid:1 1:0.4 2:0.26 3:0.0 4:1.0 5:9.95899 6:0.26
0 qid:1 1:0.44444445 2:0.21666664 3:0.0 4:1.0 5:9.95862 6:0.21666664
0 qid:1 1:0.0 2:0.25490195 3:0.0 4:0.0 5:9.95825 6:0.25490195
0 qid:1 1:0.4 2:0.24528301 3:0.0 4:1.0 5:9.95751 6:0.24528301
0 qid:1 1:0.5 2:0.28888887 3:0.0 4:1.0 5:9.9562 6:0.28888887
0 qid:1 1:0.6666667 2:0.46428573 3:0.0 4:1.0 5:9.95393 6:0.46428573
0 qid:1 1:0.25 2:0.27659577 3:0.0 4:0.0 5:9.95374 6:0.27659577
